Genome-ID,Oral_Taxon-ID,Genus,Species,SubSpecies,Strain,No. Contigs,Total Length,MAG,Assembly Level,GC %,Genus_for_pathogen,is_pathogen
GCA_015832135.1,HMT-209,Acidovorax,ebreus,,JS3051,4,4613942,,Complete Genome,66.14,acidovorax,0
GCA_019602835.1,HMT-209,Acidovorax,ebreus,,MNS-0,3,3997592,,Complete Genome,66.46,acidovorax,0
GCA_022729025.1,HMT-209,Acidovorax,ebreus,,Ace_metabat.bin.4,36,3418583,yes,Contig,67.07,acidovorax,0
GCA_022729045.1,HMT-209,Acidovorax,ebreus,,Cit_metabat.bin.1,22,3782621,yes,Contig,66.88,acidovorax,0
GCA_022807955.1,HMT-209,Acidovorax,ebreus,,LI3,2,4251417,,Complete Genome,66.42,acidovorax,0
GCA_024709665.1,HMT-209,Acidovorax,ebreus,,RC343_metabat.bin.48,213,3596826,yes,Contig,67.17,acidovorax,0
GCA_024711385.1,HMT-209,Acidovorax,ebreus,,RXF3_metabat.bin.1,34,3536044,yes,Contig,67.06,acidovorax,0
GCA_027625375.1,HMT-209,Acidovorax,ebreus,,ED-3,1,4114005,,Complete Genome,66.53,acidovorax,0
GCA_030148125.1,HMT-209,Acidovorax,ebreus,,BWSM_57,221,3561601,,Contig,66.91,acidovorax,0
GCA_030503915.1,HMT-209,Acidovorax,ebreus,,C33,1,3674978,,Complete Genome,66.78,acidovorax,0
GCA_000935585.1,HMT-216,Acidovorax,temperans,,KY4,141,4475784,,Contig,62.89,acidovorax,0
GCA_006716905.1,HMT-216,Acidovorax,temperans,,DSM 7270,6,4651394,,Contig,63.2,acidovorax,0
GCA_016406015.1,HMT-216,Acidovorax,temperans,,IB03,103,4313039,,Scaffold,63.24,acidovorax,0
GCA_021849105.1,HMT-216,Acidovorax,temperans,,SKS3.bin6,94,3758010,yes,Scaffold,63.59,acidovorax,0
GCA_027321625.1,HMT-216,Acidovorax,temperans,,clean1930,124,3778465,,Contig,63.5,acidovorax,0
GCA_028596105.1,HMT-216,Acidovorax,temperans,,LMJ,3,4730769,,Complete Genome,63.18,acidovorax,0
GCA_913778555.1,HMT-216,Acidovorax,temperans,,SP39_3_metabat2_genome_mining.9,232,3703556,yes,Contig,63.47,acidovorax,0
GCA_000162295.1,HMT-554,Acinetobacter,baumannii,,ATCC 19606,22,3971516,,Scaffold,39.64,acinetobacter,0
GCA_000369385.1,HMT-554,Acinetobacter,baumannii,,CIP 70.34,23,4028903,,Scaffold,39.14,acinetobacter,0
GCA_000614705.1,HMT-554,Acinetobacter,baumannii,,JCM 6841,118,3932397,,Contig,39.08,acinetobacter,0
GCA_000737145.1,HMT-554,Acinetobacter,baumannii,,ATCC 19606,2,3955221,,Scaffold,39.11,acinetobacter,0
GCA_000931755.1,HMT-554,Acinetobacter,baumannii,,NBRC 109757,53,3926017,,Contig,39.06,acinetobacter,0
GCA_001077555.2,HMT-554,Acinetobacter,baumannii,,B8342,1,3947826,,Complete Genome,39.06,acinetobacter,0
GCA_009035845.1,HMT-554,Acinetobacter,baumannii,,ATCC 19606,3,3999136,,Complete Genome,39.15,acinetobacter,0
GCA_009759685.1,HMT-554,Acinetobacter,baumannii,,ATCC 19606,2,3990388,,Complete Genome,39.16,acinetobacter,0
GCA_014672755.1,HMT-554,Acinetobacter,baumannii,,ATCC 19606,1,3980852,,Complete Genome,39.17,acinetobacter,0
GCA_020911985.1,HMT-554,Acinetobacter,baumannii,,ATCC 19606,2,3999499,,Complete Genome,39.15,acinetobacter,0
GCA_000368045.1,HMT-297,Acinetobacter,johnsonii,,CIP 64.6,11,3608403,,Scaffold,41.87,acinetobacter,0
GCA_003952785.1,HMT-297,Acinetobacter,johnsonii,,IC001,5,3736232,,Complete Genome,41.47,acinetobacter,0
GCA_008180305.1,HMT-297,Acinetobacter,johnsonii,,Acsw19,4,3835186,,Complete Genome,41.41,acinetobacter,0
GCA_016027055.1,HMT-297,Acinetobacter,johnsonii,,FDAARGOS_910,4,3617455,,Complete Genome,41.4,acinetobacter,0
GCA_016726625.1,HMT-297,Acinetobacter,johnsonii,,FDAARGOS_1094,10,3524396,,Complete Genome,41.24,acinetobacter,0
GCA_020162195.1,HMT-297,Acinetobacter,johnsonii,,CSUSB1,3,3655004,,Complete Genome,41.39,acinetobacter,0
GCA_021496295.1,HMT-297,Acinetobacter,johnsonii,,AJ312,1,3343033,,Complete Genome,41.56,acinetobacter,0
GCA_021496365.1,HMT-297,Acinetobacter,johnsonii,,AJ413,5,3784505,,Complete Genome,41.26,acinetobacter,0
GCA_900444855.1,HMT-297,Acinetobacter,johnsonii,,NCTC10308,6,3655558,,Contig,41.38,acinetobacter,0
GCA_000368765.1,HMT-282,Acinetobacter,junii,,CIP 64.5,7,3357744,,Scaffold,39.32,acinetobacter,0
GCA_003939335.2,HMT-282,Acinetobacter,junii,,AJ_351,2,3769270,,Complete Genome,38.85,acinetobacter,0
GCA_003939355.2,HMT-282,Acinetobacter,junii,,AJ_068,3,3483561,,Complete Genome,38.77,acinetobacter,0
GCA_018281725.1,HMT-282,Acinetobacter,junii,,INC8271,1,3530883,,Complete Genome,38.56,acinetobacter,0
GCA_018336855.1,HMT-282,Acinetobacter,junii,,YR7,2,3438557,,Complete Genome,38.6,acinetobacter,0
GCA_021491935.1,HMT-282,Acinetobacter,junii,,WCO-9,1,3193903,,Complete Genome,38.62,acinetobacter,0
GCA_023973105.1,HMT-282,Acinetobacter,junii,,AJ6079,1,3362966,,Complete Genome,38.79,acinetobacter,0
GCA_030913345.1,HMT-282,Acinetobacter,junii,,A22,2,3536196,,Complete Genome,38.82,acinetobacter,0
GCA_900444865.1,HMT-282,Acinetobacter,junii,,NCTC12153,4,3344648,,Contig,38.81,acinetobacter,0
GCA_900444875.1,HMT-282,Acinetobacter,junii,,NCTC10307,2,3361057,,Contig,38.81,acinetobacter,0
GCA_000248355.2,HMT-005,Acinetobacter,lwoffii,,NCTC 5866,252,3353128,,Contig,43.04,acinetobacter,0
GCA_000487975.1,HMT-005,Acinetobacter,lwoffii,,NIPH 512,12,3384618,,Scaffold,43.13,acinetobacter,0
GCA_000836095.1,HMT-005,Acinetobacter,lwoffii,,NBRC 109760,100,3298884,,Contig,43.11,acinetobacter,0
GCA_002119785.3,HMT-005,Acinetobacter,lwoffii,,ZS207,11,3549925,,Complete Genome,42.83,acinetobacter,0
GCA_015602705.1,HMT-005,Acinetobacter,lwoffii,,12CE1,1,2993055,,Complete Genome,43.47,acinetobacter,0
GCA_019048305.1,HMT-005,Acinetobacter,lwoffii,,FDAARGOS 1393,6,3504477,,Complete Genome,43.06,acinetobacter,0
GCA_019048525.1,HMT-005,Acinetobacter,lwoffii,,FDAARGOS 1394,9,3466826,,Complete Genome,42.71,acinetobacter,0
GCA_019343495.1,HMT-005,Acinetobacter,lwoffii,,H7,6,3528101,,Complete Genome,42.6,acinetobacter,0
GCA_029024105.1,HMT-005,Acinetobacter,lwoffii,,DSM 2403,6,3463679,,Complete Genome,43.06,acinetobacter,0
GCA_900699155.1,HMT-005,Acinetobacter,lwoffii,,NCTC5866,2,3495680,,Contig,43.04,acinetobacter,0
GCA_000286595.1,HMT-010,Acinetobacter,radioresistens,,WC-A-157,21,3209605,,Contig,41.65,acinetobacter,0
GCA_000368885.1,HMT-010,Acinetobacter,radioresistens,,NIPH 2130,6,3164924,,Scaffold,41.79,acinetobacter,0
GCA_000368905.1,HMT-010,Acinetobacter,radioresistens,,CIP 103788,13,3195486,,Scaffold,42.07,acinetobacter,0
GCA_002993105.1,HMT-010,Acinetobacter,radioresistens,,DSSKY-A-001,1,3132860,,Complete Genome,41.61,acinetobacter,0
GCA_003258335.1,HMT-010,Acinetobacter,radioresistens,,LH6,1,3089777,,Complete Genome,41.85,acinetobacter,0
GCA_005519305.1,HMT-010,Acinetobacter,radioresistens,,DD78,4,3247241,,Complete Genome,41.55,acinetobacter,0
GCA_006757745.1,HMT-010,Acinetobacter,radioresistens,,NBRC 102413,9,3433938,,Complete Genome,41.39,acinetobacter,0
GCA_014069095.1,HMT-010,Acinetobacter,radioresistens,,FDAARGOS_731,6,3377444,,Chromosome,41.52,acinetobacter,0
GCA_029961705.1,HMT-010,Acinetobacter,radioresistens,,Sample9_3,2,3170212,,Complete Genome,41.56,acinetobacter,0
GCA_000429225.1,HMT-888,Actinomyces,dentalis,,DSM 19115,91,3531393,,Scaffold,73.12,actinomyces,0
GCA_905371755.1,HMT-888,Actinomyces,dentalis,,SRR9217391-mag-bin.19,298,3326315,yes,Contig,73.11,actinomyces,0
GCA_000429265.1,HMT-618,Actinomyces,gerencseriae,,DSM 6844,28,3420019,,Scaffold,70.75,actinomyces,0
GCA_905373455.1,HMT-618,Actinomyces,gerencseriae,,SRR9217472-mag-bin.2,286,3131644,yes,Contig,70.77,actinomyces,0
GCA_000239695.1,HMT-866,Actinomyces,graevenitzii,,C83,10,2205725,,Scaffold,57.97,actinomyces,0
GCA_000466185.1,HMT-866,Actinomyces,graevenitzii,,F0530,29,2090952,,Scaffold,57.85,actinomyces,0
GCA_002871975.1,HMT-866,Actinomyces,graevenitzii,,UMB0286,20,2107861,,Scaffold,57.82,actinomyces,0
GCA_015259495.1,HMT-866,Actinomyces,graevenitzii,,JCVI_32_bin.45,89,1786652,yes,Contig,58.11,actinomyces,0
GCA_018366775.1,HMT-866,Actinomyces,graevenitzii,,L3_108_000G1_dasL3_108_000G1_metabat.metabat.69,57,1959695,yes,Contig,57.9,actinomyces,0
GCA_018378275.1,HMT-866,Actinomyces,graevenitzii,,L2_013_000G1_dasL2_013_000G1_concoct_44_sub,185,2019214,yes,Scaffold,57.97,actinomyces,0
GCA_902480825.1,HMT-866,Actinomyces,graevenitzii,,MGYG-HGUT-02941,86,1921862,,Contig,57.91,actinomyces,0
GCA_902481625.1,HMT-866,Actinomyces,graevenitzii,,MGYG-HGUT-03014,66,1770918,,Contig,58.22,actinomyces,0
GCA_905369945.1,HMT-866,Actinomyces,graevenitzii,,DRR046100-mag-bin.3,151,1951561,yes,Contig,57.81,actinomyces,0
GCA_916050455.1,HMT-866,Actinomyces,graevenitzii,,ERR2764871_bin.3_metaWRAP_v1.1_MAG,83,1976895,yes,Contig,57.86,actinomyces,0
GCA_916720025.1,HMT-866,Actinomyces,graevenitzii,,SRR15235656_bin.17_metaWRAP_v1.1_MAG,79,1934683,yes,Contig,57.89,actinomyces,0
GCA_927911435.1,HMT-866,Actinomyces,graevenitzii,,ERR3827227_bin.6_metaWRAP_v1.1_MAG,108,2126736,yes,Contig,57.71,actinomyces,0
GCA_938014305.1,HMT-866,Actinomyces,graevenitzii,,SRR8114062_bin.40_CONCOCT_v1.1_MAG,24,2106840,yes,Contig,57.73,actinomyces,0
GCA_938043945.1,HMT-866,Actinomyces,graevenitzii,,ERR589702_bin.71_CONCOCT_v1.1_MAG,32,2140962,yes,Contig,57.65,actinomyces,0
GCA_000711965.1,HMT-645,Actinomyces,israelii,,DSM 43320,102,4025772,,Scaffold,71.45,actinomyces,0
GCA_026891875.1,HMT-645,Actinomyces,israelii,,ATCC 10048,75,3873991,,Contig,71.55,actinomyces,0
GCA_030253495.1,HMT-645,Actinomyces,israelii,,F0345,1,3980311,,Complete Genome,71.5,actinomyces,0
GCA_000239715.1,HMT-849,Actinomyces,johnsonii,,F0330,76,3459374,,Scaffold,67.8,actinomyces,0
GCA_006546835.1,HMT-849,Actinomyces,johnsonii,,CCUG 34287,42,3348294,,Scaffold,67.53,actinomyces,0
GCA_008693165.1,HMT-849,Actinomyces,johnsonii,,CCUG 34287T,39,3357062,,Contig,67.52,actinomyces,0
GCA_031296615.1,HMT-849,Actinomyces,johnsonii,,CCUG 34287,50,3344607,,Contig,67.52,actinomyces,0
GCA_000269805.1,HMT-852,Actinomyces,massiliensis,,4401292,13,3371034,,Scaffold,67.99,actinomyces,0
GCA_000296275.1,HMT-852,Actinomyces,massiliensis,,F0489,233,3416440,,Contig,67.73,actinomyces,0
GCA_030644185.1,HMT-852,Actinomyces,massiliensis,,F0489,1,3476513,,Complete Genome,67.7,actinomyces,0
GCA_905373845.1,HMT-852,Actinomyces,massiliensis,,SRR9217492-mag-bin.11,263,2775398,yes,Contig,67.73,actinomyces,0
GCA_938045635.1,HMT-852,Actinomyces,massiliensis,,ERR589609_bin.77_CONCOCT_v1.1_MAG,166,3111153,yes,Contig,67.81,actinomyces,0
GCA_000285995.1,HMT-176,Actinomyces,naeslundii,,Howell 279,243,3114341,,Contig,67.85,actinomyces,0
GCA_001937475.1,HMT-176,Actinomyces,naeslundii,,R19039,56,3197928,,Scaffold,67.54,actinomyces,0
GCA_001937595.1,HMT-176,Actinomyces,naeslundii,,W8-2-3,49,3218937,,Scaffold,67.63,actinomyces,0
GCA_001937605.1,HMT-176,Actinomyces,naeslundii,,R13240,32,3226920,,Scaffold,67.56,actinomyces,0
GCA_001937615.1,HMT-176,Actinomyces,naeslundii,,R8152,44,3183492,,Scaffold,67.58,actinomyces,0
GCA_001937735.1,HMT-176,Actinomyces,naeslundii,,WE6B-3,58,3228491,,Scaffold,67.6,actinomyces,0
GCA_001956355.1,HMT-176,Actinomyces,naeslundii,,F12B1,73,3191973,,Scaffold,67.58,actinomyces,0
GCA_001956365.1,HMT-176,Actinomyces,naeslundii,,Pn6N,53,3155768,,Scaffold,67.61,actinomyces,0
GCA_001956415.1,HMT-176,Actinomyces,naeslundii,,MMRC12-1,56,3165113,,Scaffold,67.74,actinomyces,0
GCA_001956435.1,HMT-176,Actinomyces,naeslundii,,F6E1,174,3041208,,Scaffold,67.72,actinomyces,0
GCA_001956445.1,HMT-176,Actinomyces,naeslundii,,CCUG 37599,57,3159810,,Scaffold,67.55,actinomyces,0
GCA_001956475.1,HMT-176,Actinomyces,naeslundii,,T23P-1,104,3068220,,Contig,68.01,actinomyces,0
GCA_001956485.1,HMT-176,Actinomyces,naeslundii,,S44D,52,3128129,,Scaffold,67.94,actinomyces,0
GCA_001956505.1,HMT-176,Actinomyces,naeslundii,,R24330,61,3139836,,Scaffold,67.97,actinomyces,0
GCA_001956515.1,HMT-176,Actinomyces,naeslundii,,S43L,34,3122782,,Scaffold,68.01,actinomyces,0
GCA_001956555.1,HMT-176,Actinomyces,naeslundii,,MB-1,41,3144414,,Scaffold,67.85,actinomyces,0
GCA_001956565.1,HMT-176,Actinomyces,naeslundii,,CCUG 35334,47,3151111,,Scaffold,67.83,actinomyces,0
GCA_001956575.1,HMT-176,Actinomyces,naeslundii,,S65A,33,3229861,,Scaffold,67.78,actinomyces,0
GCA_001956585.1,HMT-176,Actinomyces,naeslundii,,NCTC 10301,47,3119690,,Scaffold,67.94,actinomyces,0
GCA_001956635.1,HMT-176,Actinomyces,naeslundii,,G127B,42,3140302,,Scaffold,68.0,actinomyces,0
GCA_002847585.1,HMT-176,Actinomyces,naeslundii,,UMB0181,18,3127787,,Scaffold,67.66,actinomyces,0
GCA_016127855.1,HMT-176,Actinomyces,naeslundii,,FDAARGOS_1037,1,3152123,,Complete Genome,67.88,actinomyces,0
GCA_023170065.1,HMT-176,Actinomyces,naeslundii,,ATCC 27039,1,3204077,,Complete Genome,67.73,actinomyces,0
GCA_026802095.1,HMT-176,Actinomyces,naeslundii,,CW,1,3104561,,Chromosome,67.6,actinomyces,0
GCA_031296595.1,HMT-176,Actinomyces,naeslundii,,ATCC 12104,65,3123836,,Contig,67.9,actinomyces,0
GCA_031296655.1,HMT-176,Actinomyces,naeslundii,,NCTC 10301,42,3127545,,Contig,67.92,actinomyces,0
GCA_031296715.1,HMT-176,Actinomyces,naeslundii,,NCTC 10301,106,3119783,,Contig,67.84,actinomyces,0
GCA_905372775.1,HMT-176,Actinomyces,naeslundii,,SRR9217428-mag-bin.18,118,3041234,yes,Contig,68.0,actinomyces,0
GCA_004104015.1,HMT-708,Actinomyces,oricola,,R5292,78,2930686,,Contig,68.69,actinomyces,0
GCA_938040835.1,HMT-708,Actinomyces,oricola,,ERR589462_bin.56_CONCOCT_v1.1_MAG,142,2574485,yes,Contig,69.3,actinomyces,0
GCA_000180155.1,HMT-043,Actinomyces,oris,,K20,771,2872429,,Contig,67.8,actinomyces,0
GCA_001553935.1,HMT-043,Actinomyces,oris,,T14V,1,3042917,,Complete Genome,68.46,actinomyces,0
GCA_023169925.1,HMT-043,Actinomyces,oris,,K20,1,3119201,,Complete Genome,68.33,actinomyces,0
GCA_001929375.1,HMT-079,Actinomyces,oris,,S64C,95,3113698,,Scaffold,68.55,actinomyces,0
GCA_001937365.1,HMT-079,Actinomyces,oris,,R21091,87,3046442,,Scaffold,68.71,actinomyces,0
GCA_001937655.1,HMT-079,Actinomyces,oris,,S24V,290,3045360,,Scaffold,68.37,actinomyces,0
GCA_001812965.1,HMT-144,Actinomyces,oris,,HMSC075C01,142,3272120,,Scaffold,68.26,actinomyces,0
GCA_001937385.1,HMT-144,Actinomyces,oris,,MMRCO6-1,86,3250757,,Scaffold,68.1,actinomyces,0
GCA_001937415.1,HMT-144,Actinomyces,oris,,M48-1B-1,90,3243259,,Scaffold,68.03,actinomyces,0
GCA_001937425.1,HMT-144,Actinomyces,oris,,F28B1,103,3278855,,Scaffold,68.09,actinomyces,0
GCA_001937445.1,HMT-144,Actinomyces,oris,,WE8B-23,88,3229440,,Scaffold,68.27,actinomyces,0
GCA_001937485.1,HMT-144,Actinomyces,oris,,CCUG 34286,91,3266793,,Scaffold,68.03,actinomyces,0
GCA_001937505.1,HMT-144,Actinomyces,oris,,R11372,74,3282203,,Scaffold,67.94,actinomyces,0
GCA_001937725.1,HMT-144,Actinomyces,oris,,A19A-1,118,3283870,,Scaffold,68.05,actinomyces,0
GCA_031296635.1,HMT-144,Actinomyces,oris,,VPI D163E-3,106,3272606,,Contig,67.97,actinomyces,0
GCA_034648895.1,HMT-144,Actinomyces,oris,,ORNL 0101,2,3445169,,Contig,67.76,actinomyces,0
GCA_905373015.1,HMT-144,Actinomyces,oris,,SRR9217449-mag-bin.11,181,3114517,yes,Contig,68.22,actinomyces,0
GCA_001929365.1,HMT-169,Actinomyces,oris,,F4D1,65,3025390,,Scaffold,68.63,actinomyces,0
GCA_001937545.1,HMT-169,Actinomyces,oris,,W11-1-1,45,2976384,,Scaffold,68.82,actinomyces,0
GCA_013394715.1,HMT-169,Actinomyces,oris,,F0496,1,3040651,,Complete Genome,68.46,actinomyces,0
GCA_030371665.1,HMT-169,Actinomyces,oris,,ET81,37,3006394,,Contig,68.76,actinomyces,0
GCA_030527985.1,HMT-169,Actinomyces,oris,,S18M_Sa_13,47,2998464,,Scaffold,68.74,actinomyces,0
GCA_031082475.1,HMT-169,Actinomyces,oris,,CNGBCC1804106,33,3003454,,Contig,68.89,actinomyces,0
GCA_901873715.1,HMT-169,Actinomyces,oris,,Actinomyces_naeslundii_BgEED02,20,3147367,,Contig,68.48,actinomyces,0
GCA_905373335.1,HMT-169,Actinomyces,oris,,SRR9217470-mag-bin.2,240,2600283,yes,Contig,68.93,actinomyces,0
GCA_937981545.1,HMT-169,Actinomyces,oris,,SRR8114064_bin.71_CONCOCT_v1.1_MAG,75,3040545,yes,Contig,68.81,actinomyces,0
GCA_001937675.1,HMT-171,Actinomyces,oris,,CCUG 33920,45,2966880,,Scaffold,68.29,actinomyces,0
GCA_005696555.1,HMT-171,Actinomyces,oris,,F0337,1,3097489,,Complete Genome,68.13,actinomyces,0
GCA_916439255.1,HMT-171,Actinomyces,oris,,DRR214960_bin.22_metaWRAP_v1.1_MAG,20,2802136,yes,Contig,67.85,actinomyces,0
GCA_000175315.3,HMT-893,Actinomyces,oris,,C505,5,3134496,,Scaffold,68.68,actinomyces,0
GCA_000223355.2,HMT-893,Actinomyces,oris,,F0384,7,3133330,,Contig,68.73,actinomyces,0
GCA_001807465.1,HMT-893,Actinomyces,oris,,HMSC08A09,87,3046742,,Scaffold,68.81,actinomyces,0
GCA_001937535.1,HMT-893,Actinomyces,oris,,R23275,96,3115162,,Scaffold,68.5,actinomyces,0
GCA_001937555.1,HMT-893,Actinomyces,oris,,G53E,36,3039485,,Scaffold,68.8,actinomyces,0
GCA_001937715.1,HMT-893,Actinomyces,oris,,A7A-1,42,3104690,,Scaffold,68.76,actinomyces,0
GCA_002847555.1,HMT-893,Actinomyces,oris,,UMB0183,15,3015022,,Scaffold,68.85,actinomyces,0
GCA_006546825.1,HMT-893,Actinomyces,oris,,CCUG 34288,19,3168954,,Scaffold,68.56,actinomyces,0
GCA_016127955.1,HMT-893,Actinomyces,oris,,FDAARGOS_1051,2,3190396,,Complete Genome,68.47,actinomyces,0
GCA_016694895.1,HMT-893,Actinomyces,oris,,HMT 175,1,3024208,,Complete Genome,68.94,actinomyces,0
GCA_027945475.1,HMT-893,Actinomyces,oris,,WVU627,2,3103474,,Complete Genome,68.78,actinomyces,0
GCA_031082435.1,HMT-893,Actinomyces,oris,,CNGBCC1803727,39,3159402,,Contig,68.61,actinomyces,0
GCA_031292905.1,HMT-893,Actinomyces,oris,,WVU371,167,3094922,,Contig,68.67,actinomyces,0
GCA_031296455.1,HMT-893,Actinomyces,oris,,T14V,40,3163776,,Contig,68.55,actinomyces,0
GCA_031296505.1,HMT-893,Actinomyces,oris,,WVU626,69,3114730,,Contig,68.72,actinomyces,0
GCA_031296575.1,HMT-893,Actinomyces,oris,,C16,82,3080381,,Contig,68.63,actinomyces,0
GCA_031297525.1,HMT-893,Actinomyces,oris,,VPIIA/6,56,3146087,,Contig,68.61,actinomyces,0
GCA_916050205.1,HMT-893,Actinomyces,oris,,ERR2764931_bin.4_metaWRAP_v1.1_MAG,50,3069335,yes,Contig,68.89,actinomyces,0
GCA_946221355.1,HMT-893,Actinomyces,oris,,iknnSsCAXX_bin.1.MAG,242,3042170,yes,Scaffold,68.93,actinomyces,0
GCA_001553565.1,HMT-746,Actinomyces,radicidentis,,CCUG 36733,1,3051613,,Complete Genome,72.58,actinomyces,0
GCA_959607315.1,HMT-746,Actinomyces,radicidentis,,SRR16280065_bin.9_MetaWRAP_v1.3_MAG,249,2799563,yes,Contig,72.81,actinomyces,0
GCA_000195595.1,HMT-170,Actinomyces,sp. HMT-170,,F0386,76,3135144,,Scaffold,67.76,actinomyces,0
GCA_916720155.1,HMT-170,Actinomyces,sp. HMT-170,,SRR15235659_bin.27_metaWRAP_v1.1_MAG,187,2627796,yes,Contig,68.52,actinomyces,0
GCA_900323545.1,HMT-403,Actinomyces,sp. HMT-403,,Marseille-P3109,8,3149233,,Contig,68.4,actinomyces,0
GCA_902363285.1,HMT-403,Actinomyces,sp. HMT-403,,MGYG-HGUT-00112,10,3112947,,Contig,68.4,actinomyces,0
